0,31.0,23.0,9.0,7.0,6.0,3.0,3.0,3.0,2.0,2.0
1,35.0,17.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
2,27.0,19.0,6.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0
3,36.0,22.0,7.0,7.0,5.0,3.0,2.0,2.0,2.0,1.0
4,37.0,19.0,11.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0
5,36.0,18.0,15.0,12.0,6.0,4.0,4.0,2.0,2.0,2.0
6,40.0,18.0,9.0,7.0,6.0,5.0,4.0,4.0,3.0,2.0
7,53.0,19.0,8.0,6.0,5.0,4.0,3.0,3.0,2.0,2.0
8,41.0,33.0,10.0,9.0,7.0,4.0,2.0,2.0,2.0,1.0
9,47.0,20.0,16.0,13.0,10.0,5.0,4.0,3.0,3.0,3.0
10,39.0,27.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
11,28.0,20.0,7.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0
12,55.0,42.0,7.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0
13,31.0,28.0,9.0,7.0,6.0,5.0,5.0,3.0,2.0,2.0
14,48.0,23.0,11.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0
15,51.0,21.0,8.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
16,46.0,28.0,16.0,12.0,11.0,7.0,6.0,4.0,4.0,4.0
17,58.0,24.0,17.0,15.0,10.0,9.0,8.0,8.0,6.0,5.0
18,56.0,41.0,9.0,7.0,7.0,5.0,4.0,3.0,2.0,2.0
19,53.0,52.0,10.0,7.0,7.0,5.0,4.0,2.0,2.0,2.0
20,77.0,30.0,22.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0
21,87.0,30.0,13.0,10.0,9.0,8.0,6.0,5.0,4.0,4.0
22,57.0,36.0,13.0,11.0,7.0,4.0,4.0,3.0,3.0,3.0
23,68.0,30.0,21.0,10.0,9.0,3.0,3.0,3.0,2.0,2.0
24,78.0,49.0,24.0,11.0,5.0,5.0,4.0,4.0,3.0,2.0
25,59.0,44.0,18.0,18.0,7.0,7.0,4.0,3.0,3.0,2.0
26,64.0,41.0,10.0,10.0,9.0,8.0,5.0,2.0,2.0,2.0
27,65.0,47.0,13.0,11.0,4.0,3.0,3.0,3.0,2.0,2.0
28,63.0,24.0,9.0,8.0,5.0,5.0,5.0,4.0,4.0,3.0
29,64.0,35.0,17.0,8.0,5.0,4.0,3.0,3.0,2.0,2.0
30,61.0,22.0,10.0,9.0,9.0,6.0,4.0,4.0,4.0,3.0
31,65.0,32.0,24.0,16.0,15.0,9.0,4.0,4.0,4.0,3.0
32,78.0,49.0,15.0,12.0,9.0,9.0,4.0,4.0,3.0,2.0
33,64.0,60.0,18.0,10.0,6.0,5.0,4.0,3.0,3.0,2.0
34,47.0,29.0,10.0,9.0,8.0,6.0,4.0,4.0,4.0,3.0
35,115.0,36.0,26.0,20.0,17.0,7.0,7.0,6.0,4.0,4.0
36,88.0,31.0,17.0,11.0,8.0,7.0,6.0,5.0,5.0,5.0
37,76.0,53.0,30.0,26.0,10.0,9.0,5.0,4.0,3.0,3.0
38,46.0,45.0,17.0,14.0,8.0,5.0,4.0,4.0,3.0,3.0
39,62.0,36.0,20.0,8.0,5.0,5.0,4.0,4.0,4.0,3.0
40,66.0,48.0,27.0,15.0,9.0,5.0,5.0,4.0,4.0,3.0
41,65.0,45.0,21.0,16.0,12.0,9.0,7.0,5.0,5.0,5.0
42,37.0,32.0,19.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0
43,53.0,47.0,23.0,14.0,9.0,6.0,5.0,4.0,4.0,2.0
44,62.0,55.0,26.0,9.0,4.0,4.0,3.0,3.0,3.0,2.0
45,100.0,38.0,21.0,12.0,8.0,7.0,5.0,4.0,3.0,3.0
46,55.0,42.0,21.0,7.0,5.0,5.0,4.0,3.0,3.0,2.0
47,59.0,32.0,29.0,13.0,6.0,6.0,5.0,5.0,4.0,2.0
48,62.0,47.0,24.0,13.0,5.0,5.0,4.0,3.0,3.0,2.0
49,74.0,47.0,30.0,10.0,7.0,5.0,4.0,3.0,3.0,3.0
50,54.0,48.0,45.0,16.0,12.0,6.0,3.0,3.0,3.0,2.0
51,64.0,30.0,22.0,8.0,7.0,6.0,4.0,4.0,2.0,2.0
52,98.0,35.0,29.0,14.0,7.0,6.0,5.0,5.0,5.0,5.0
53,65.0,30.0,24.0,10.0,10.0,7.0,6.0,4.0,4.0,3.0
54,91.0,43.0,28.0,8.0,7.0,5.0,3.0,3.0,3.0,3.0
55,119.0,81.0,41.0,17.0,5.0,4.0,4.0,3.0,3.0,3.0
56,92.0,64.0,34.0,14.0,6.0,4.0,3.0,3.0,3.0,3.0
57,81.0,46.0,27.0,22.0,7.0,4.0,4.0,3.0,3.0,2.0
58,105.0,45.0,35.0,30.0,17.0,6.0,6.0,3.0,2.0,2.0
59,79.0,57.0,33.0,18.0,13.0,6.0,5.0,5.0,2.0,2.0
60,99.0,69.0,28.0,8.0,5.0,4.0,4.0,3.0,2.0,2.0
61,100.0,53.0,15.0,10.0,7.0,3.0,2.0,2.0,2.0,2.0
62,89.0,46.0,22.0,10.0,8.0,5.0,3.0,3.0,3.0,3.0
63,100.0,62.0,27.0,18.0,7.0,6.0,6.0,5.0,5.0,4.0
64,69.0,41.0,26.0,8.0,8.0,6.0,6.0,5.0,3.0,3.0
65,78.0,62.0,27.0,15.0,10.0,7.0,6.0,4.0,4.0,4.0
66,92.0,52.0,24.0,11.0,5.0,5.0,4.0,4.0,4.0,4.0
67,96.0,48.0,18.0,9.0,7.0,5.0,4.0,3.0,2.0,2.0
68,96.0,64.0,53.0,24.0,9.0,8.0,4.0,3.0,2.0,2.0
69,105.0,44.0,28.0,12.0,9.0,9.0,6.0,2.0,2.0,1.0
70,81.0,57.0,28.0,14.0,12.0,3.0,3.0,2.0,2.0,2.0
71,65.0,64.0,32.0,16.0,9.0,9.0,5.0,3.0,3.0,3.0
72,129.0,64.0,26.0,17.0,16.0,9.0,6.0,5.0,5.0,3.0
