"20150301",3515
"20150302",2987
"20150303",3602
"20150304",5095
"20150305",5414
"20150306",3823
"20150307",4317
"20150308",3977
"20150309",4001
"20150310",3787
"20150311",4220
"20150312",4307
"20150313",4424
"20150314",4637
"20150315",5008
"20150316",4793
"20150317",4548
"20150318",4113
"20150319",4568
"20150320",4424
"20150321",5057
"20150322",6051
"20150323",4617
"20150324",4311
"20150325",5062
"20150326",6825
"20150327",6346
"20150328",5590
"20150329",6000
"20150330",6795
"20150331",5462
"20150401",4961
"20150402",4604
"20150403",5324
"20150404",5877
"20150405",5722
"20150406",5500
"20150407",4476
"20150408",4204
"20150409",3846
"20150410",3921
"20150411",4323
"20150412",4104
"20150413",3829
"20150414",4137
"20150415",3784
"20150416",3845
"20150417",3585
"20150418",4158
"20150419",4265
"20150420",3823
"20150421",3940
"20150422",3464
"20150423",3565
"20150424",3826
"20150425",3763
"20150426",3889
"20150427",3552
"20150428",3108
"20150429",3606
"20150430",3604
"20150501",4375
"20150502",4864
"20150503",4242
"20150504",3553
"20150505",4705
"20150506",3748
"20150507",4596
"20150508",3873
"20150509",4568
"20150510",4100
"20150511",3982
"20150512",3757
"20150513",4314
"20150514",4832
"20150515",4747
"20150516",4436
"20150517",6880
"20150518",4530
"20150519",4211
"20150520",4868
"20150521",4244
"20150522",3719
"20150523",4952
"20150524",4592
"20150525",3689
"20150526",3845
"20150527",3716
"20150528",3966
"20150529",4044
"20150530",4560
"20150531",4058
"20150601",3542
"20150602",3524
"20150603",3207
"20150604",3599
"20150605",3976
"20150606",4532
"20150607",4994
"20150608",4766
"20150609",4317
"20150610",3959
"20150611",3963
"20150612",3124
"20150613",3805
"20150614",4556
"20150615",3543
"20150616",4510
"20150617",4034
"20150618",4003
"20150619",3480
"20150620",4716
"20150621",3520
"20150622",4096
"20150623",3305
"20150624",3247
"20150625",4395
"20150626",3593
"20150627",4051
"20150628",4178
"20150629",4010
"20150630",4163
"20150701",4466
"20150702",4836
"20150703",4586
"20150704",4394
"20150705",4185
"20150706",4580
"20150707",3966
"20150708",4386
"20150709",4798
"20150710",4574
"20150711",4827
"20150712",4637
"20150713",4727
"20150714",5714
"20150715",4318
"20150716",4136
"20150717",3649
"20150718",4876
"20150719",6077
"20150720",4478
"20150721",4652
"20150722",5328
"20150723",5011
"20150724",5439
"20150725",6831
"20150726",6648
"20150727",5851
"20150728",5355
"20150729",5109
"20150730",5555
"20150731",4712
"20150801",5816
"20150802",4413
"20150803",5033
"20150804",4585
"20150805",4786
"20150806",4304
"20150807",4135
"20150808",4832
"20150809",4707
"20150810",3771
"20150811",4891
"20150812",4623
"20150813",4074
"20150814",4286
"20150815",4055
"20150816",4600
"20150817",4297
"20150818",4310
"20150819",4261
"20150820",3759
"20150821",5014
"20150822",4661
"20150823",4434
"20150824",4124
"20150825",3365
"20150826",4423
"20150827",4472
"20150828",5018
"20150829",4361
"20150830",4761
