233.0,110.0,54.0,31.0,31.0,26.0,23.0,20.0,10.0,10.0
223.0,103.0,43.0,42.0,29.0,23.0,21.0,16.0,16.0,9.0
250.0,82.0,65.0,49.0,29.0,29.0,25.0,25.0,22.0,20.0
264.0,109.0,94.0,68.0,38.0,26.0,25.0,24.0,15.0,14.0
193.0,82.0,53.0,29.0,28.0,27.0,20.0,18.0,17.0,16.0
227.0,130.0,49.0,33.0,31.0,26.0,23.0,16.0,15.0,15.0
187.0,116.0,56.0,35.0,30.0,29.0,25.0,19.0,16.0,12.0
194.0,145.0,73.0,49.0,44.0,22.0,20.0,19.0,18.0,12.0
247.0,136.0,134.0,58.0,37.0,34.0,25.0,24.0,20.0,19.0
195.0,146.0,78.0,73.0,42.0,26.0,21.0,21.0,15.0,12.0
202.0,72.0,69.0,65.0,33.0,24.0,24.0,17.0,16.0,16.0
179.0,70.0,56.0,35.0,32.0,25.0,17.0,16.0,16.0,15.0
213.0,71.0,52.0,33.0,27.0,18.0,18.0,17.0,14.0,12.0
167.0,86.0,33.0,32.0,25.0,17.0,14.0,12.0,9.0,9.0
181.0,75.0,33.0,32.0,27.0,27.0,19.0,19.0,16.0,15.0
166.0,64.0,34.0,32.0,30.0,28.0,21.0,17.0,16.0,16.0
188.0,141.0,33.0,28.0,28.0,24.0,20.0,18.0,16.0,12.0
229.0,97.0,95.0,51.0,46.0,23.0,21.0,21.0,20.0,19.0
198.0,184.0,77.0,41.0,40.0,34.0,32.0,31.0,30.0,28.0
289.0,168.0,82.0,48.0,41.0,25.0,22.0,22.0,21.0,19.0
199.0,174.0,108.0,96.0,35.0,35.0,32.0,29.0,29.0,21.0
203.0,177.0,81.0,51.0,37.0,35.0,20.0,18.0,18.0,18.0
308.0,170.0,74.0,43.0,39.0,26.0,22.0,22.0,19.0,15.0
358.0,157.0,51.0,45.0,36.0,32.0,29.0,25.0,20.0,19.0
416.0,119.0,46.0,45.0,36.0,35.0,19.0,18.0,16.0,15.0
447.0,151.0,64.0,39.0,32.0,30.0,27.0,17.0,17.0,15.0
537.0,136.0,57.0,54.0,38.0,31.0,30.0,24.0,24.0,18.0
