52.0,19.0,18.0,14.0,8.0,8.0,7.0,6.0,6.0,6.0
61.0,35.0,32.0,24.0,15.0,12.0,10.0,9.0,7.0,7.0
61.0,20.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0
62.0,38.0,27.0,14.0,10.0,9.0,9.0,7.0,7.0,5.0
58.0,30.0,13.0,13.0,13.0,7.0,6.0,6.0,5.0,5.0
65.0,32.0,25.0,22.0,15.0,14.0,10.0,7.0,7.0,6.0
33.0,30.0,19.0,12.0,11.0,11.0,9.0,8.0,8.0,7.0
25.0,21.0,18.0,14.0,13.0,12.0,10.0,9.0,9.0,9.0
48.0,20.0,19.0,17.0,10.0,9.0,8.0,6.0,6.0,6.0
29.0,23.0,21.0,13.0,11.0,7.0,6.0,6.0,6.0,6.0
41.0,17.0,15.0,14.0,14.0,13.0,12.0,12.0,12.0,11.0
24.0,18.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,9.0
50.0,21.0,17.0,14.0,12.0,11.0,8.0,7.0,5.0,5.0
70.0,37.0,18.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0
46.0,29.0,17.0,16.0,10.0,9.0,7.0,7.0,6.0,6.0
31.0,30.0,18.0,17.0,14.0,9.0,9.0,8.0,8.0,7.0
25.0,21.0,19.0,15.0,12.0,11.0,9.0,9.0,7.0,6.0
40.0,20.0,16.0,13.0,12.0,12.0,9.0,7.0,6.0,6.0
33.0,24.0,16.0,13.0,7.0,7.0,7.0,7.0,6.0,5.0
48.0,40.0,20.0,14.0,8.0,8.0,7.0,7.0,6.0,6.0
72.0,25.0,22.0,22.0,17.0,17.0,16.0,15.0,11.0,8.0
49.0,32.0,30.0,22.0,15.0,11.0,11.0,10.0,10.0,8.0
34.0,22.0,22.0,19.0,14.0,10.0,8.0,8.0,7.0,6.0
57.0,22.0,21.0,12.0,9.0,8.0,8.0,8.0,7.0,7.0
49.0,29.0,21.0,14.0,10.0,8.0,5.0,5.0,4.0,4.0
64.0,30.0,24.0,19.0,11.0,10.0,9.0,6.0,6.0,5.0
42.0,31.0,27.0,26.0,13.0,12.0,11.0,9.0,7.0,7.0
47.0,44.0,28.0,26.0,19.0,17.0,16.0,14.0,14.0,9.0
62.0,37.0,20.0,12.0,11.0,10.0,10.0,8.0,7.0,6.0
41.0,23.0,14.0,13.0,11.0,11.0,5.0,5.0,4.0,4.0
40.0,32.0,23.0,23.0,12.0,11.0,11.0,7.0,7.0,5.0
66.0,49.0,41.0,23.0,21.0,16.0,13.0,8.0,8.0,7.0
132.0,72.0,33.0,25.0,24.0,15.0,10.0,10.0,9.0,7.0
155.0,74.0,37.0,22.0,19.0,16.0,11.0,8.0,8.0,7.0
73.0,36.0,32.0,21.0,20.0,18.0,12.0,10.0,9.0,9.0
96.0,45.0,27.0,21.0,15.0,11.0,9.0,7.0,6.0,6.0
117.0,38.0,27.0,25.0,18.0,15.0,14.0,12.0,8.0,8.0
143.0,43.0,35.0,18.0,18.0,11.0,10.0,6.0,6.0,6.0
74.0,54.0,18.0,18.0,15.0,13.0,10.0,8.0,6.0,6.0
71.0,68.0,17.0,17.0,15.0,11.0,7.0,7.0,7.0,6.0
