79.0,78.0,72.0,10.0,3.0
86.0,85.0,63.0,9.0,8.0
62.0,58.0,42.0,8.0,6.0
67.0,64.0,43.0,15.0,14.0
202.0,31.0,18.0,10.0,4.0
67.0,24.0,17.0,12.0,4.0
56.0,20.0,13.0,7.0,5.0
38.0,31.0,20.0,9.0,8.0
83.0,49.0,15.0,9.0,6.0
74.0,44.0,14.0,8.0,5.0
71.0,55.0,13.0,5.0,5.0
52.0,29.0,10.0,4.0,4.0
55.0,50.0,16.0,7.0,7.0
68.0,32.0,8.0,4.0,3.0
64.0,30.0,12.0,5.0,4.0
72.0,52.0,10.0,9.0,9.0
50.0,45.0,12.0,9.0,8.0
46.0,24.0,12.0,8.0,5.0
72.0,29.0,12.0,9.0,7.0
38.0,17.0,15.0,12.0,11.0
63.0,48.0,31.0,4.0,4.0
59.0,50.0,25.0,7.0,7.0
68.0,61.0,52.0,9.0,6.0
65.0,53.0,12.0,6.0,6.0
45.0,30.0,9.0,9.0,8.0
41.0,40.0,35.0,8.0,5.0
107.0,32.0,7.0,6.0,6.0
53.0,30.0,8.0,8.0,5.0
66.0,17.0,13.0,11.0,10.0
66.0,60.0,25.0,20.0,11.0
91.0,53.0,22.0,12.0,11.0
208.0,36.0,21.0,13.0,11.0
57.0,31.0,31.0,25.0,8.0
104.0,36.0,30.0,14.0,7.0
95.0,43.0,12.0,11.0,11.0
180.0,52.0,20.0,8.0,7.0
160.0,97.0,30.0,25.0,7.0
104.0,64.0,17.0,11.0,10.0
169.0,33.0,29.0,14.0,12.0
162.0,31.0,27.0,11.0,8.0
160.0,49.0,22.0,17.0,12.0
129.0,60.0,19.0,17.0,11.0
109.0,40.0,17.0,10.0,9.0
167.0,74.0,30.0,19.0,8.0
113.0,75.0,28.0,24.0,19.0
195.0,41.0,19.0,12.0,12.0
87.0,29.0,15.0,13.0,10.0
210.0,26.0,17.0,17.0,8.0
180.0,24.0,22.0,13.0,9.0
180.0,50.0,35.0,14.0,9.0
137.0,48.0,36.0,31.0,18.0
97.0,66.0,46.0,26.0,21.0
145.0,36.0,30.0,28.0,13.0
99.0,30.0,22.0,20.0,11.0
123.0,27.0,26.0,16.0,10.0
155.0,107.0,22.0,15.0,15.0
143.0,43.0,22.0,15.0,13.0
167.0,60.0,44.0,27.0,24.0
169.0,61.0,38.0,22.0,20.0
121.0,38.0,28.0,19.0,15.0
102.0,27.0,16.0,14.0,14.0
150.0,33.0,21.0,19.0,7.0
125.0,30.0,27.0,17.0,11.0
99.0,29.0,24.0,13.0,12.0
179.0,64.0,19.0,10.0,8.0
114.0,65.0,23.0,17.0,11.0
143.0,39.0,15.0,14.0,14.0
148.0,47.0,18.0,18.0,16.0
172.0,19.0,19.0,14.0,12.0
311.0,76.0,32.0,30.0,29.0
164.0,41.0,35.0,15.0,12.0
92.0,79.0,32.0,29.0,15.0
148.0,81.0,80.0,35.0,23.0
99.0,52.0,41.0,26.0,23.0
133.0,39.0,24.0,23.0,19.0
109.0,34.0,21.0,19.0,17.0
134.0,40.0,31.0,29.0,25.0
135.0,44.0,32.0,31.0,19.0
103.0,61.0,34.0,21.0,18.0
119.0,81.0,16.0,13.0,13.0
138.0,47.0,23.0,21.0,17.0
117.0,28.0,15.0,15.0,13.0
106.0,35.0,22.0,15.0,15.0
135.0,33.0,20.0,14.0,13.0
165.0,144.0,37.0,16.0,13.0
120.0,62.0,39.0,15.0,14.0
153.0,81.0,19.0,14.0,12.0
159.0,33.0,26.0,24.0,19.0
139.0,24.0,23.0,20.0,16.0
122.0,22.0,15.0,15.0,14.0
147.0,28.0,24.0,21.0,20.0
136.0,43.0,17.0,13.0,11.0
114.0,83.0,39.0,15.0,11.0
123.0,67.0,19.0,16.0,14.0
134.0,88.0,30.0,27.0,17.0
107.0,24.0,19.0,17.0,11.0
137.0,29.0,22.0,16.0,10.0
160.0,118.0,23.0,22.0,17.0
120.0,37.0,20.0,18.0,16.0
